Date ,series ,Open,HIGH ,LOW ,PREV. CLOSE ,ltp ,Price ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Helper
9-Jun-20,EQ,"1,459.80","1,467.05","1,381.70","1,450.40","1,412.85","1,414.30","1,425.98","2,059.50",735.35,645680,"920,725,872.45",39080,201
10-Jun-20,EQ,"1,425.15","1,434.90","1,389.25","1,414.30","1,408.00","1,404.55","1,409.73","2,059.50",735.35,375893,"529,906,795.15",20665,202
11-Jun-20,EQ,"1,406.90","1,418.75","1,353.05","1,404.55","1,365.00","1,366.30","1,380.31","2,059.50",735.35,300744,"415,120,984.55",19121,203
12-Jun-20,EQ,"1,302.00","1,354.00","1,302.00","1,366.30","1,339.25","1,343.15","1,331.05","2,059.50",735.35,302615,"402,795,428.35",18060,204
15-Jun-20,EQ,"1,345.00","1,378.00","1,324.50","1,343.15","1,330.00","1,332.95","1,347.76","2,059.50",735.35,320523,"431,987,483.20",14046,205
16-Jun-20,EQ,"1,351.00","1,369.80","1,328.05","1,332.95","1,341.40","1,347.20","1,351.18","2,059.50",735.35,254767,"344,236,238.15",16488,206
17-Jun-20,EQ,"1,335.50","1,368.00","1,322.00","1,347.20","1,335.00","1,338.05","1,350.07","2,059.50",735.35,244650,"330,294,996.35",16139,207
18-Jun-20,EQ,"1,338.05","1,397.95","1,334.40","1,338.05","1,372.60","1,370.05","1,372.27","2,059.50",735.35,509157,"698,702,603.70",28827,208
19-Jun-20,EQ,"1,384.25","1,386.30","1,321.50","1,370.05","1,324.35","1,330.75","1,339.21","2,059.50",735.35,755958,"1,012,387,228.55",20430,209
22-Jun-20,EQ,"1,332.60","1,356.00","1,326.85","1,330.75","1,336.50","1,336.55","1,341.68","2,059.50",735.35,353450,"474,215,057.40",20030,210
23-Jun-20,EQ,"1,335.00","1,375.00","1,328.10","1,336.55","1,371.00","1,369.30","1,357.65","2,059.50",735.35,448533,"608,949,983.90",34811,211
24-Jun-20,EQ,"1,380.00","1,432.70","1,354.90","1,369.30","1,391.60","1,387.90","1,392.92","2,059.50",735.35,902188,"1,256,674,054.00",33484,212
25-Jun-20,EQ,"1,362.60","1,386.70","1,352.00","1,387.90","1,380.00","1,378.55","1,371.59","2,059.50",735.35,683129,"936,971,658.00",38253,213
26-Jun-20,EQ,"1,390.00","1,506.00","1,388.00","1,378.55","1,465.95","1,461.70","1,470.49","2,059.50",735.35,2314144,"3,402,918,257.80",91912,214
29-Jun-20,EQ,"1,469.50","1,469.50","1,408.00","1,461.70","1,415.00","1,417.70","1,435.75","2,059.50",735.35,624987,"897,322,729.25",43377,215
30-Jun-20,EQ,"1,439.20","1,439.70","1,401.10","1,417.70","1,403.00","1,409.20","1,421.70","2,059.50",735.35,291679,"414,679,580.30",15347,216
1-Jul-20,EQ,"1,408.60","1,418.00","1,375.00","1,409.20","1,385.00","1,384.95","1,388.15","2,059.50",735.35,249512,"346,360,248.35",15325,217
